                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                  2.459,                 2.9507,                 2.4937,                0.50002,                0.39255,                0.39789,                0.23414,                 3.0444,                 3.9376,                 3.0583,               0.004984,               0.004984,               0.004984
                     78,                 2.4247,                 2.9354,                 2.4984,                0.52307,                0.39374,                0.41198,                0.24156,                 3.0471,                 3.9204,                 3.0421,               0.004918,               0.004918,               0.004918
                     79,                 2.4176,                  2.918,                 2.4931,                0.48103,                0.39756,                0.39726,                0.23476,                 3.0629,                 3.9465,                 3.0925,               0.004852,               0.004852,               0.004852
                     80,                 2.4202,                 2.9402,                 2.5021,                0.50353,                0.40469,                0.41445,                0.24138,                 3.0593,                 3.8158,                 3.0775,               0.004786,               0.004786,               0.004786
                     81,                 2.4057,                 2.8888,                 2.4851,                0.52848,                0.39058,                0.41031,                0.24178,                 3.0671,                 3.9103,                 3.1007,                0.00472,                0.00472,                0.00472
                     82,                 2.3914,                 2.8113,                 2.4672,                0.50233,                0.37936,                0.38732,                0.23024,                 3.0545,                 3.9988,                 3.0624,               0.004654,               0.004654,               0.004654
                     83,                 2.4118,                 2.8753,                 2.4771,                0.51239,                  0.428,                0.41698,                0.24289,                 3.0783,                 3.9527,                 3.0869,               0.004588,               0.004588,               0.004588
                     84,                 2.3883,                 2.7904,                 2.4609,                0.51649,                0.40088,                0.42072,                0.24143,                 3.0745,                 3.8423,                 3.0411,               0.004522,               0.004522,               0.004522
                     85,                 2.4009,                 2.8191,                  2.473,                0.49641,                0.41232,                0.41355,                 0.2443,                 3.0526,                 3.9368,                 3.0438,               0.004456,               0.004456,               0.004456
                     86,                 2.3786,                 2.8093,                 2.4581,                0.55827,                0.39152,                 0.4245,                0.24997,                  3.082,                  3.847,                 3.0703,                0.00439,                0.00439,                0.00439
                     87,                 2.3557,                 2.7529,                 2.4438,                0.51069,                0.39764,                0.40308,                0.23929,                 3.0701,                 3.9974,                 3.0762,               0.004324,               0.004324,               0.004324
                     88,                 2.3675,                 2.7649,                 2.4578,                0.52433,                0.40395,                0.40538,                0.23986,                 3.0463,                 3.9279,                 3.0673,               0.004258,               0.004258,               0.004258
                     89,                 2.3764,                 2.7697,                 2.4419,                0.51329,                 0.3981,                0.40649,                0.23634,                 3.0515,                 4.0353,                 3.0828,               0.004192,               0.004192,               0.004192
                     90,                 2.3618,                 2.7251,                 2.4388,                0.50452,                0.41552,                0.40751,                0.23409,                 3.0886,                 3.9757,                 3.1117,               0.004126,               0.004126,               0.004126
                     91,                 2.3274,                 2.7008,                 2.4261,                0.49432,                0.39969,                0.39912,                0.24091,                 3.0565,                 3.9505,                 3.0936,                0.00406,                0.00406,                0.00406
                     92,                 2.3345,                 2.6847,                 2.4327,                0.47097,                0.41809,                0.40235,                0.23274,                  3.066,                  3.967,                 3.0906,               0.003994,               0.003994,               0.003994
                     93,                 2.3294,                 2.6287,                 2.4223,                0.50774,                0.39282,                 0.4116,                0.24293,                 3.0153,                  3.986,                 3.0545,               0.003928,               0.003928,               0.003928
                     94,                 2.3291,                 2.6345,                 2.4293,                0.52889,                0.39837,                0.41359,                0.24684,                 3.0574,                 3.9535,                 3.0684,               0.003862,               0.003862,               0.003862
                     95,                 2.3304,                  2.627,                 2.4285,                0.50761,                0.38984,                0.39236,                0.23225,                 3.0595,                 4.0115,                 3.0762,               0.003796,               0.003796,               0.003796
                     96,                 2.2978,                  2.633,                 2.4108,                0.52457,                0.39984,                0.40563,                0.23917,                 3.0674,                 4.0161,                 3.0747,                0.00373,                0.00373,                0.00373
                     97,                 2.3068,                 2.6071,                 2.4171,                0.49491,                0.39966,                0.41055,                0.24118,                 3.0604,                  3.987,                 3.0938,               0.003664,               0.003664,               0.003664
