                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                  2.721,                 1.4842,                 2.0996,                0.65983,                0.61865,                0.62113,                 0.2847,                 4.0714,                 2.3461,                 2.8611,               0.002608,               0.002608,               0.002608
                    114,                 2.7603,                 1.4801,                 2.0713,                0.65798,                0.62581,                0.62896,                0.28641,                  4.068,                 2.3587,                 2.8929,               0.002542,               0.002542,               0.002542
                    115,                 2.7363,                 1.4808,                  2.093,                0.66297,                0.65247,                 0.6281,                0.28336,                 4.0272,                 2.3519,                  2.879,               0.002476,               0.002476,               0.002476
                    116,                  2.813,                 1.5128,                 2.0937,                0.67836,                0.64389,                0.62598,                0.28197,                 4.0989,                  2.384,                 2.9062,                0.00241,                0.00241,                0.00241
                    117,                 2.7279,                 1.4713,                 2.0823,                0.67685,                0.60456,                0.62772,                0.28136,                 4.1188,                 2.3685,                 2.9054,               0.002344,               0.002344,               0.002344
                    118,                 2.7612,                 1.4745,                 2.0743,                 0.6577,                 0.6443,                0.63028,                0.29026,                 4.0972,                 2.3166,                 2.8822,               0.002278,               0.002278,               0.002278
                    119,                 2.7417,                 1.4682,                 2.0679,                0.64096,                0.66148,                0.63379,                0.28694,                 4.0663,                 2.3197,                 2.8984,               0.002212,               0.002212,               0.002212
                    120,                 2.7228,                 1.4774,                 2.0856,                 0.6668,                0.62164,                0.63338,                0.29007,                 4.0458,                 2.3215,                 2.8807,               0.002146,               0.002146,               0.002146
                    121,                 2.6647,                 1.4209,                 2.0715,                0.66549,                0.62326,                0.63484,                0.29185,                 4.0625,                 2.3293,                 2.8806,                0.00208,                0.00208,                0.00208
                    122,                 2.6887,                 1.4448,                 2.0654,                0.63292,                0.64991,                0.63382,                0.29586,                 4.0448,                 2.3086,                  2.865,               0.002014,               0.002014,               0.002014
                    123,                 2.6823,                 1.4594,                 2.0488,                0.67716,                0.61595,                0.63183,                0.29493,                 4.0328,                 2.3055,                 2.8731,               0.001948,               0.001948,               0.001948
                    124,                 2.7017,                  1.471,                 2.0573,                0.66431,                0.64144,                0.63573,                0.29423,                 4.0572,                  2.292,                 2.8986,               0.001882,               0.001882,               0.001882
                    125,                 2.6793,                 1.4427,                 2.0621,                0.66555,                 0.6328,                0.63409,                0.29277,                 4.0529,                 2.2961,                 2.8953,               0.001816,               0.001816,               0.001816
                    126,                 2.6522,                 1.4232,                  2.069,                0.65138,                0.65686,                 0.6359,                0.29335,                 4.0658,                 2.3096,                 2.8939,                0.00175,                0.00175,                0.00175
                    127,                 2.6711,                  1.432,                 2.0557,                0.65883,                0.64993,                0.64306,                 0.2949,                 4.0922,                 2.2896,                 2.9092,               0.001684,               0.001684,               0.001684
                    128,                 2.6013,                 1.3997,                 2.0316,                0.65607,                  0.656,                0.64823,                 0.2988,                 4.0732,                  2.297,                 2.8889,               0.001618,               0.001618,               0.001618
                    129,                 2.5693,                 1.3939,                  2.054,                0.67441,                0.63451,                0.64487,                0.30001,                 4.0362,                 2.2932,                 2.8768,               0.001552,               0.001552,               0.001552
                    130,                  2.608,                 1.3961,                 2.0387,                0.65031,                0.63621,                0.63366,                0.29147,                 4.0818,                 2.3264,                 2.8947,               0.001486,               0.001486,               0.001486
                    131,                 2.5962,                 1.3856,                  2.044,                0.64039,                0.64806,                0.63462,                0.29233,                 4.1033,                 2.3273,                 2.9118,                0.00142,                0.00142,                0.00142
                    132,                 2.5791,                 1.3863,                 2.0518,                0.65969,                0.62974,                0.63456,                0.29033,                 4.0875,                 2.3248,                 2.9026,               0.001354,               0.001354,               0.001354
                    133,                 2.6304,                 1.4085,                 2.0436,                0.69077,                0.60699,                0.62855,                0.28553,                 4.1074,                 2.3091,                 2.8978,               0.001288,               0.001288,               0.001288
                    134,                 2.5478,                 1.3817,                 2.0343,                0.67749,                0.61826,                0.63805,                0.29159,                 4.0883,                 2.3316,                 2.9031,               0.001222,               0.001222,               0.001222
                    135,                 2.5551,                 1.3794,                 2.0387,                0.66638,                0.64625,                0.64332,                0.29497,                 4.0783,                 2.3367,                 2.8946,               0.001156,               0.001156,               0.001156
                    136,                 2.5399,                 1.3784,                 2.0151,                0.66227,                0.63479,                0.63431,                0.29021,                 4.0919,                 2.3476,                 2.8962,                0.00109,                0.00109,                0.00109
                    137,                 2.5232,                 1.3789,                  2.024,                0.66579,                0.62837,                0.63682,                0.29158,                 4.1041,                 2.3359,                 2.9124,               0.001024,               0.001024,               0.001024
                    138,                 2.5932,                 1.3946,                 2.0227,                0.67511,                0.61362,                0.63184,                 0.2914,                   4.11,                 2.3397,                 2.9293,               0.000958,               0.000958,               0.000958
                    139,                  2.532,                 1.3719,                 2.0143,                0.66549,                0.62983,                0.63182,                0.29294,                 4.1034,                 2.3497,                 2.9275,               0.000892,               0.000892,               0.000892
                    140,                 2.5398,                 1.3676,                 2.0146,                0.66173,                0.62664,                0.63356,                0.29359,                 4.1188,                 2.3665,                 2.9219,               0.000826,               0.000826,               0.000826
                    141,                 2.3463,                 1.2509,                  1.972,                0.66804,                0.62229,                0.62869,                0.28957,                 4.1581,                  2.374,                 2.9662,                0.00076,                0.00076,                0.00076
                    142,                  2.336,                 1.2378,                 1.9836,                0.65362,                0.62891,                0.63388,                0.29192,                 4.1662,                 2.3822,                 2.9721,               0.000694,               0.000694,               0.000694
                    143,                 2.2885,                 1.2187,                 1.9874,                 0.6581,                 0.6308,                0.63484,                0.29432,                 4.1516,                 2.4069,                 2.9696,               0.000628,               0.000628,               0.000628
                    144,                 2.2978,                 1.2186,                 1.9787,                0.67484,                0.62701,                0.63641,                 0.2949,                 4.1666,                 2.3763,                 2.9725,               0.000562,               0.000562,               0.000562
                    145,                 2.2718,                 1.2061,                 1.9398,                0.68282,                0.62136,                0.63898,                 0.2956,                 4.1786,                 2.3639,                 2.9915,               0.000496,               0.000496,               0.000496
                    146,                 2.2642,                 1.2043,                  1.953,                0.66604,                0.64621,                0.63601,                0.29263,                 4.1559,                 2.3774,                 2.9697,                0.00043,                0.00043,                0.00043
                    147,                 2.2395,                 1.1972,                 1.9498,                0.69335,                0.62512,                0.63725,                0.29492,                 4.1381,                 2.3987,                  2.958,               0.000364,               0.000364,               0.000364
                    148,                 2.2633,                  1.206,                 1.9458,                0.66791,                0.62864,                0.63517,                0.29314,                 4.1318,                 2.4023,                 2.9559,               0.000298,               0.000298,               0.000298
                    149,                 2.2943,                 1.2119,                  1.957,                0.68028,                0.63407,                0.63537,                0.29334,                 4.1275,                 2.4023,                 2.9569,               0.000232,               0.000232,               0.000232
                    150,                 2.2647,                 1.1989,                 1.9438,                0.68159,                0.63291,                 0.6354,                0.29347,                 4.1355,                 2.3934,                 2.9656,               0.000166,               0.000166,               0.000166
